id,vocab_size,hidden_size,num_hidden_layers,num_attention_heads,intermediate_size,hidden_act,hidden_dropout_prob,attention_probs_dropout_prog,max_position_embeddings,type_vocab_size,initializer_range,layer_norm_eps,gradient_checkpointing,position_embedding_type,use_cache,energy_consumption,perplexity,energy_loss,loss,date
108,23546,29,1,7,1217,silu,0.37518479,0.202724309,512,1,0.02,1e-12,False,relative_key_query,True,0.104656,1123.62819512549,117.59443238905328,7.024318188476562,2021-04-09 10:17:57.162217
109,28375,62,2,14,114,gelu,0.35451544700000004,0.317284077,512,1,0.02,1e-12,False,relative_key,True,0.364218,2110.14637827991,768.5532936043522,7.65451259765625,2021-04-09 11:14:58.244841
110,19251,21,2,17,127,relu,0.277595207,0.307031661,512,1,0.02,1e-12,False,relative_key_query,True,0.218043,803.9674742731971,175.2994799929507,6.689558813476562,2021-04-09 11:50:26.262724
111,27662,27,1,15,210,gelu,0.245624512,0.21374197600000003,512,1,0.02,1e-12,False,relative_key_query,True,0.17463199999999998,1504.0643640319809,262.6577680196329,7.315926298828125,2021-04-09 12:15:35.597680
112,3428,57,2,15,9,gelu,0.42189199200000005,0.254540516,512,1,0.02,1e-12,False,relative_key,True,0.369103,2108.4832845555034,778.24750577929,7.653724145507812,2021-04-09 13:14:05.424649
113,1811,98,1,18,1332,gelu,0.445939905,0.241304278,512,1,0.02,1e-12,False,relative_key,True,0.7124050000000001,2168.466305087999,1544.8262380762158,7.681775424804687,2021-04-09 14:32:51.591878
114,28912,34,3,13,1006,gelu,0.22680967,0.22497253899999997,512,1,0.02,1e-12,False,relative_key_query,True,0.459604,2123.5469652318397,975.9906794084143,7.66084306640625,2021-04-09 15:34:48.552424
115,27351,2,3,12,875,silu,0.322571829,0.10048926300000001,512,1,0.02,1e-12,False,relative_key,True,0.171034,2343.4194962544602,400.80441012238526,7.75936646484375,2021-04-09 16:01:26.815481
116,27021,5,3,15,2553,relu,0.619795432,0.7590385070000001,512,1,0.02,1e-12,False,relative_key_query,True,0.225242,2415.860566206909,544.1532656535767,7.789810844726563,2021-04-09 16:33:31.651658
117,11561,49,6,16,60,gelu,0.325618181,0.11178540699999999,512,1,0.02,1e-12,False,relative_key_query,True,0.8637530000000001,2520.518829270563,2177.1057003389365,7.832220043945313,2021-04-09 18:23:24.248529
118,18592,39,2,7,1348,gelu,0.379006884,0.630673363,512,1,0.02,1e-12,False,relative_key_query,True,0.238402,933.8224905176268,222.62514938438332,6.8392863671875,2021-04-09 20:56:11.865685
119,2653,44,1,4,919,gelu,0.320409034,0.337783839,512,1,0.02,1e-12,False,relative_key_query,True,0.142709,1196.646873400706,170.77227865614137,7.08727865234375,2021-04-09 21:14:44.768872
120,30334,4,1,16,408,relu,0.35362186100000004,0.199900222,512,1,0.02,1e-12,False,relative_key_query,True,0.114568,1458.5907670294935,167.10782699703503,7.285226020507812,2021-04-09 21:31:11.663467
121,14665,74,7,10,2081,gelu_new,0.340895921,0.417201827,512,1,0.02,1e-12,False,relative_key,True,0.9143610000000001,2472.292803956526,2260.568120518493,7.812901259765625,2021-04-09 23:27:40.241026
122,26465,10,3,7,536,gelu_new,0.235153699,0.70231397,512,1,0.02,1e-12,False,relative_key_query,True,0.178874,1151.7043851836372,206.00997019533798,7.048998198242187,2021-04-09 23:54:50.371822
123,20557,69,3,13,866,gelu,0.262743011,0.981660787,512,1,0.02,1e-12,False,absolute,True,0.508434,2426.378528996661,1233.6533410118884,7.794155107421875,2021-04-10 01:03:26.320518
124,27677,31,1,12,570,gelu,0.509836373,0.47874126200000006,512,1,0.02,1e-12,False,absolute,True,0.169441,1613.5337345285434,273.3987695122509,7.386181918945312,2021-04-10 01:25:14.877730
125,21317,45,2,5,1648,gelu,0.258993868,0.33783858200000005,512,1,0.02,1e-12,False,relative_key_query,True,0.19309,941.2793089840538,181.75162177173092,6.847239916992187,2021-04-10 01:51:45.126732
126,25792,53,3,17,173,gelu,0.487574921,0.436302864,512,1,0.02,1e-12,False,relative_key_query,True,0.55306,2457.926311299144,1359.3807257271044,7.807073310546875,2021-04-10 03:07:05.253978
127,18021,87,1,6,1124,gelu,0.152024438,0.359252876,512,1,0.02,1e-12,False,relative_key_query,True,0.29389899999999997,1598.6559132671312,469.84337425329653,7.376918500976562,2021-04-10 03:48:32.624163
128,9813,63,6,6,14,silu,0.603121031,0.367289029,512,1,0.02,1e-12,False,relative_key_query,True,0.562265,1087.457950168042,611.4395443512343,6.991598095703125,2021-04-10 05:19:05.294072
129,22760,48,3,1,800,gelu_new,0.129409427,0.527121045,512,1,0.02,1e-12,False,relative_key_query,True,0.158046,1362.2874078103728,215.30407565479817,7.216920483398438,2021-04-10 05:45:42.120396
130,25127,28,2,17,2061,relu,0.560587365,0.312820999,512,1,0.02,1e-12,False,relative_key_query,True,0.353106,1703.4854391440397,601.5109294743952,7.440431689453125,2021-04-10 06:37:47.777938
131,18441,52,2,3,922,gelu,0.406975527,0.364800977,512,1,0.02,1e-12,False,relative_key_query,True,0.15873199999999998,1043.4574976496249,165.63009551692028,6.950294995117187,2021-04-10 07:01:21.612024
132,19917,36,1,16,609,gelu,0.458276212,0.24104412,512,1,0.02,1e-12,False,relative_key_query,True,0.279646,1610.2130325481974,450.28963369997314,7.384121767578125,2021-04-10 07:40:56.295510
